X,Y,bAddress,Address,Title
-123.118824,49.288293,Median on east side of Cordova at Thurlow,Median on east side of Cordova at Thurlow,Nike
-123.101234,49.254946,,,Memento (Poodle)
-123.119663,49.289661,Coal Harbour,Coal Harbour,Komagata Maru
-123.114941,49.279754,"Vancouver Public Library Main Branch",Vancouver Public Library Main Branch,Reconciliation (2014) - Open Handed
-123.057158,49.269617,East 1st Avenue and Nanaimo Street,East 1st Avenue and Nanaimo Street,RestART Mural
-123.252319,49.26707,Main Library,Main Library,Monkey & Man
-123.107791,49.282643,Woodward's,Woodward's,Abbott & Cordova, 7 August 1971
-123.114779,49.272544,Cambie Bridge,Cambie Bridge,A False Creek
-123.112343,49.281585,,,Whispers
-123.114951,49.266989,Under Cambie Bridge,Under Cambie Bridge,Garde-Temps
-123.107076,49.245084,Hillcrest Park,Hillcrest Park,Geyser for Hillcrest Park
-123.256664,49.268017,Lasserre Bldg.,Lasserre Bldg.,Asiatic Head
-123.256027,49.267961,Lasserre Bldg.,Lasserre Bldg.,Three Forms
-123.256465,49.268048,Lasserre Bldg.,Lasserre Bldg.,Reclining Figure
-123.25621,49.267727,Lasserre Bldg.,Lasserre Bldg.,Dr. Norman Mackenzie
-123.254925,49.268271,Buchanan Building,Buchanan Building,Concerto
-123.2529,49.266839,Main Library,Main Library,Mother and Child
-123.25615,49.267848,,,Cumbria 67
-123.144964,49.278127,Vanier Park,Vanier Park,Gate to the Northwest Passage
-123.123447,49.280618,,,Clouds
-123.256733,49.268823,Thea Koerner Grad Student Center,Thea Koerner Grad Student Center,Transcendence
-123.250742,49.270727,St. Mark's Theological College (Duke Hall),St. Mark's Theological College (Duke Hall),St. Mark & the Lion
-123.256341,49.267163,Lasserre Bldg.,Lasserre Bldg.,Tuning Fork
-123.156609,49.301409,Ferguson Point,Ferguson Point,Pauline Johnson Memorial
-123.074643,49.258796,Our Lady of Fatima Church,Our Lady of Fatima Church,Untitled
-123.141344,49.25976,Granville Gardens,Granville Gardens,Wind Blown Mounds
-123.11338,49.241656,Queen Elizabeth Park,Queen Elizabeth Park,Knife Edge Two Piece
-123.076377,49.237432,Kensington Park,Kensington Park,Gates
-123.143789,49.276484,Vanier Park,Vanier Park,Discus Thrower
-123.120902,49.29924,Brockton Point,Brockton Point,Beaver Crest Pole
-123.118001,49.299862,Brockton Point,Brockton Point,Chehalis Cross
-123.121984,49.300579,Great Granite Boulder,Great Granite Boulder,Girl in a Wetsuit
-123.117887,49.299969,,,Empress of Japan
-123.130411,49.30255,,,Lumberman's Arch
-123.141931,49.311866,Lions Gate Bridge,Lions Gate Bridge,Untitled (Lions: pair)
-123.136238,49.299971,,,Shakespeare Monument and Garden
-123.120776,49.299188,Brockton Point,Brockton Point,Thunderbird House Post
-123.126135,49.272885,Concord Pacific,Concord Pacific,Pacific Spiral
-123.120851,49.299245,Brockton Point,Brockton Point,Chief Wa'kas Pole
-123.120898,49.299283,Brockton Point,Brockton Point,Sky Chief Pole
-123.120781,49.299161,Brockton Point,Brockton Point,Chief Skedans Mortuary Pole
-123.130955,49.300017,Vancouver Aquarium,Vancouver Aquarium,Killer Whale / Chief of the Undersea World
-123.134314,49.297138,,,Queen Victoria Memorial Drinking Fountain
-123.134619,49.297198,,,Robert Burns
-123.135223,49.297258,,,Lord Stanley
-123.099377,49.281678,Bruce Eriksen Place,Bruce Eriksen Place,Bruce Eriksen Place
-123.132011,49.301084,,,Japanese-Canadian War Memorial
-123.110708,49.281711,Vancouver Vocational Institute,Vancouver Vocational Institute,Untitled
-123.190702,49.271195,Brock House,Brock House,Continuity
-123.120716,49.282472,Robson Square,Robson Square,Bird of Spring
-123.121989,49.282095,Robson Square,Robson Square,Spring
-123.233646,49.279179,Spanish Bank,Spanish Bank,Anchor
-123.133879,49.293036,Devonian Harbour Park,Devonian Harbour Park,Search
-123.109952,49.282161,Victory Square,Victory Square,Untitled
-123.109894,49.28209,Victory Square,Victory Square,Province Newspaper Memorial
-123.119147,49.273265,Marinaside Crescent,Marinaside Crescent,Lookout
-123.117552,49.273857,Boathouse Mews,Boathouse Mews,Untitled (fountain)
-123.133832,49.238255,VanDusen Botanical Garden,VanDusen Botanical Garden,Throne of Nezahualcoyotl
-123.121784,49.288052,Royal General Insurance Bldg.,Royal General Insurance Bldg.,Untitled (Lions)
-123.11496,49.284889,"Formerly T.D. Bank now SFU",Formerly T.D. Bank now SFU,B.C. Pageant
-123.138913,49.261911,Block Bldg.,Block Bldg.,Nature's Own Geometry
-123.138963,49.267592,Granville Street Bridge,Granville Street Bridge,Untitled (100)
-123.112934,49.280206,Queen Elizabeth Theatre,Queen Elizabeth Theatre,Requiem for Yan
-123.118204,49.287592,Guiness Tower,Guiness Tower,The Fathomless Richness of the Seabed
-123.109894,49.282475,Victory Square,Victory Square,Cenotaph
-123.112989,49.280518,Queen Elizabeth Playhouse,Queen Elizabeth Playhouse,Florentine Door & Wall #3
-123.114442,49.280548,Main Post Office,Main Post Office,Untitled
-123.11481,49.28063,Main Post Office,Main Post Office,The Postman
